AcademicYear,Gender,Origin,TravelFrequency,Budget,PreferredDistance,TripDuration,TravelWith,VisitedDestinations,ScenicBeauty,AdventureOpportunities,Accommodation,CostBudget,MountainRating,BeachRating,IslandRating,FavouriteDestination
Year 2,Female,Non-Sabahan,Weekly,RM100 - RM200,Short (<1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Important,Neutral,Very important,Very Satisfied,Satisfied,Satisfied,Islands
Year 2,Male,Sabahan,Monthly,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug),Very important,Important,Neutral,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Islands
Year 2,Male,Non-Sabahan,Never,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Neutral,Neutral,Important,Satisfied,Neutral,I have not visited this destination,Islands
Year 2,Male,Non-Sabahan,Monthly,RM100 - RM200,Short (<1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Important,Important,Very important,Satisfied,Satisfied,Neutral,Mountains
Year 2,Female,Non-Sabahan,Monthly,RM100 - RM200,Long (>1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Important,Important,I have not visited this destination,Satisfied,Satisfied,Beaches
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,I have not visited this destination,Beaches
Year 2,Female,Non-Sabahan,Weekly,<RM100,Short (<1 hour),1 day,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Somewhat important,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Mountains
Year 2,Female,Non-Sabahan,Weekly,RM100 - RM200,Short (<1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Neutral,Satisfied,Satisfied,Islands
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Satisfied,Very Satisfied,Very Satisfied,Islands
Year 2,Male,Non-Sabahan,Monthly,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Very important,Somewhat important,Very Satisfied,Very Satisfied,I have not visited this destination,Beaches
Year 2,Female,Non-Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Important,Very important,Very Satisfied,Satisfied,I have not visited this destination,Mountains
Year 2,Female,Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Neutral,Somewhat important,Somewhat important,Somewhat important,Satisfied,Satisfied,I have not visited this destination,Mountains
Year 2,Male,Sabahan,Annually,RM100 - RM200,Long (>1 hour),1 day,Family,Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.),Important,Important,Important,Important,Satisfied,Satisfied,Satisfied,Mountains
Year 2,Female,Sabahan,Annually,RM100 - RM200,Short (<1 hour),2 - 3 days,Friends,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Very important,Very important,Very important,Very important,I have not visited this destination,Neutral,Neutral,Islands
Year 3,Female,Non-Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Important,Very important,Very important,Satisfied,Satisfied,Neutral,Beaches
Year 2,Male,Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Alone,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Very important,Neutral,Important,Very Satisfied,Very Satisfied,Satisfied,Mountains
Year 4,Male,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Important,Important,Very Satisfied,Very Satisfied,Very Satisfied,Islands
Year 3,Female,Non-Sabahan,Monthly,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Important,Important,Satisfied,Satisfied,Very Satisfied,Islands
Year 2,Male,Sabahan,Monthly,RM100 - RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Very important,Very important,Very important,Very Satisfied,Satisfied,Very Satisfied,Mountains
Year 3,Male,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Very important,Very important,Very Satisfied,Neutral,Very Satisfied,Islands
Year 1,Female,Sabahan,Annually,RM100 - RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Neutral,Very important,Very important,Satisfied,Satisfied,I have not visited this destination,Beaches
Year 1,Female,Sabahan,Weekly,<RM100,Long (>1 hour),1 day,Friends,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Very important,Very important,Very important,Very important,Very Satisfied,Neutral,I have not visited this destination,Mountains
Year 5,Male,Sabahan,Weekly,<RM100,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Mountains
Year 2,Female,Non-Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Important,Very important,Satisfied,Satisfied,Satisfied,Islands
Year 1,Male,Non-Sabahan,Annually,RM100 - RM200,Long (>1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Important,Important,Important,Neutral,Neutral,Neutral,Islands
Year 1,Male,Non-Sabahan,Never,>RM200,Long (>1 hour),1 day,Family,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Neutral,Important,Very important,Important,Neutral,Dissatisfied,Neutral,Islands
Year 2,Female,Non-Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Satisfied,Satisfied,Very Satisfied,Beaches
Year 2,Male,Non-Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Alone,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Very important,Very important,Important,Neutral,Satisfied,Very Satisfied,Dissatisfied,Beaches
Year 2,Female,Non-Sabahan,Monthly,<RM100,Long (>1 hour),1 day,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Important,Very important,Very Satisfied,Satisfied,Very Satisfied,Islands
Year 1,Female,Sabahan,Annually,RM100 - RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Very important,Very important,Satisfied,Satisfied,Satisfied,Islands
Year 2,Male,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Neutral,Important,Important,Very important,Satisfied,Satisfied,Satisfied,Islands
Year 1,Female,Sabahan,Monthly,RM100 - RM200,Long (>1 hour),1 day,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Very important,Very important,Very Satisfied,Neutral,I have not visited this destination,Mountains
Year 2,Female,Non-Sabahan,Never,RM100 - RM200,Short (<1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Satisfied,Satisfied,Satisfied,Mountains
Year 2,Female,Non-Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Very important,Very important,Somewhat important,Very Satisfied,Neutral,Dissatisfied,Mountains
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Friends,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Very important,Very important,Very important,Very important,I have not visited this destination,Satisfied,I have not visited this destination,Islands
Year 2,Female,Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Mountains
Year 2,Female,Non-Sabahan,Annually,>RM200,Short (<1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Neutral,Very important,Very important,Very Satisfied,Very Satisfied,I have not visited this destination,Mountains
Year 2,Male,Non-Sabahan,Never,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Very important,Important,Important,Very Satisfied,Satisfied,Satisfied,Beaches
Year 2,Female,Non-Sabahan,Monthly,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Very important,Important,Very important,Satisfied,Satisfied,Satisfied,Mountains
Year 1,Female,Sabahan,Monthly,RM100 - RM200,Short (<1 hour),2 - 3 days,Family,Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug),Very important,Important,Important,Neutral,Neutral,Neutral,Very Satisfied,Islands
Year 2,Female,Non-Sabahan,Monthly,>RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Important,Very important,Very important,Satisfied,Satisfied,I have not visited this destination,Islands
Year 1,Male,Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Neutral,Important,Important,Very important,Satisfied,Neutral,Neutral,Islands
Year 1,Male,Non-Sabahan,Monthly,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Neutral,Very important,Important,Important,Satisfied,Satisfied,I have not visited this destination,Beaches
Year 1,Female,Non-Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Very important,Very important,Satisfied,Neutral,I have not visited this destination,Mountains
Year 2,Male,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Important,Neutral,Very important,Very Satisfied,Satisfied,Satisfied,Mountains
Year 2,Female,Non-Sabahan,Weekly,RM100 - RM200,Short (<1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Important,Important,Very important,Very Satisfied,Satisfied,Satisfied,Islands
Year 2,Male,Non-Sabahan,Never,>RM200,Short (<1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Important,Neutral,Important,Satisfied,Neutral,I have not visited this destination,Islands
Year 4,Female,Non-Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Neutral,Somewhat important,Satisfied,Satisfied,Very Satisfied,Islands
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Important,Important,Satisfied,Very Satisfied,Very Satisfied,Beaches
Year 4,Female,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Very important,Very important,Very important,Satisfied,Satisfied,Satisfied,Mountains
Year 4,Female,Non-Sabahan,Annually,>RM200,Short (<1 hour),More than 3 days,Friends,"Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Neutral,Very important,Very important,I have not visited this destination,Satisfied,Dissatisfied,Beaches
Year 4,Female,Non-Sabahan,Annually,>RM200,Short (<1 hour),2 - 3 days,Friends,"Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,I have not visited this destination,Very Satisfied,Very Satisfied,Islands
Year 4,Male,Non-Sabahan,Annually,>RM200,Short (<1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Important,Important,Satisfied,Satisfied,Satisfied,Islands
Year 4,Male,Non-Sabahan,Monthly,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Not important,Important,Very important,Very Satisfied,Satisfied,I have not visited this destination,Beaches
Year 1,Female,Non-Sabahan,Never,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Very important,Neutral,Neutral,Satisfied,Very Satisfied,Very Satisfied,Islands
Year 3,Male,Non-Sabahan,Monthly,>RM200,Long (>1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Beaches
Year 1,Female,Non-Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Family,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Very important,Important,Important,Important,I have not visited this destination,Neutral,I have not visited this destination,Islands
Year 1,Female,Non-Sabahan,Never,>RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Neutral,Important,Important,Satisfied,Satisfied,Neutral,Beaches
Year 1,Female,Non-Sabahan,Monthly,>RM200,Short (<1 hour),1 day,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Very important,Very important,Very important,Satisfied,Very Satisfied,I have not visited this destination,Beaches
Year 4,Female,Sabahan,Monthly,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Important,Somewhat important,Very Satisfied,Very Satisfied,Very Satisfied,Mountains
Year 3,Male,Non-Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Friends,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Important,Important,Very important,Very important,I have not visited this destination,Satisfied,I have not visited this destination,Beaches
Year 1,Male,Non-Sabahan,Monthly,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Important,Important,Very important,Very important,I have not visited this destination,Satisfied,I have not visited this destination,Beaches
Year 3,Female,Non-Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Friends,"Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Important,Very important,Important,Neutral,Very Satisfied,Very Satisfied,Islands
Year 2,Male,Sabahan,Monthly,>RM200,Short (<1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Important,Important,Important,Satisfied,Satisfied,Satisfied,Mountains
Year 1,Male,Non-Sabahan,Annually,RM100 - RM200,Short (<1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Very important,Very important,Very Satisfied,Very Satisfied,Satisfied,Beaches
Year 1,Male,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Important,Important,Very important,Satisfied,Dissatisfied,Very Satisfied,Islands
Year 1,Male,Non-Sabahan,Annually,>RM200,Short (<1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Neutral,Neutral,Important,Important,Satisfied,Satisfied,I have not visited this destination,Mountains
Year 4,Female,Non-Sabahan,Monthly,>RM200,Long (>1 hour),2 - 3 days,Friends,"Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Very important,Very important,Very Satisfied,Very Satisfied,Neutral,Beaches
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Important,Important,Very important,Very Satisfied,Satisfied,I have not visited this destination,Mountains
Year 2,Female,Sabahan,Monthly,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Islands
Year 2,Male,Sabahan,Monthly,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Important,Important,Very important,Satisfied,Satisfied,I have not visited this destination,Beaches
Year 4,Male,Non-Sabahan,Monthly,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Neutral,Very important,Important,Satisfied,Dissatisfied,Satisfied,Islands
Year 1,Female,Non-Sabahan,Annually,>RM200,Short (<1 hour),2 - 3 days,Friends,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Very important,Neutral,Important,Very important,I have not visited this destination,Satisfied,I have not visited this destination,Beaches
Year 2,Male,Sabahan,Monthly,>RM200,Long (>1 hour),1 day,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Very important,Very important,Important,Satisfied,Neutral,I have not visited this destination,Islands
Year 2,Female,Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Important,Important,Important,Satisfied,Satisfied,I have not visited this destination,Islands
