AcademicYear,Gender,Origin,TravelFrequency,Budget,PreferredDistance,TripDuration,TravelWith,VisitedDestinations,ScenicBeauty,AdventureOpportunities,Accommodation,CostBudget,MountainRating,BeachRating,IslandRating,FavouriteDestination
Year 4,Female,Non-Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Very Satisfied,Neutral,Neutral,Islands
Year 1,Male,Sabahan,Annually,>RM200,Short (<1 hour),2 - 3 days,Family,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,I have not visited this destination,Beaches
Year 2,Male,Sabahan,Annually,>RM200,Short (<1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Important,Very important,Important,Satisfied,Satisfied,I have not visited this destination,Mountains
Year 2,Male,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Neutral,Important,Very important,Important,Satisfied,Very Satisfied,I have not visited this destination,Mountains
Year 2,Female,Non-Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Neutral,Important,Important,Important,Very Satisfied,Satisfied,I have not visited this destination,Islands
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Neutral,Neutral,Very important,Very Satisfied,Neutral,Neutral,Mountains
Year 1,Female,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Important,Important,Very important,Satisfied,Satisfied,I have not visited this destination,Beaches
Year 2,Female,Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Neutral,Very important,Satisfied,Dissatisfied,Satisfied,Mountains
Year 3,Male,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Important,Important,Satisfied,Neutral,Satisfied,Mountains
Year 2,Male,Non-Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Important,Important,Neutral,Satisfied,Satisfied,I have not visited this destination,Islands
Year 2,Female,Non-Sabahan,Monthly,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Neutral,Very important,Important,Very Satisfied,Very Satisfied,I have not visited this destination,Islands
Year 2,Male,Non-Sabahan,Annually,<RM100,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Very important,Important,Very important,Satisfied,Neutral,I have not visited this destination,Mountains
Year 1,Female,Non-Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Neutral,Neutral,Important,Important,Very Satisfied,Satisfied,Satisfied,Mountains
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Family,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Important,Neutral,Very important,Very important,I have not visited this destination,Dissatisfied,I have not visited this destination,Mountains
Year 2,Female,Sabahan,Annually,<RM100,Short (<1 hour),1 day,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Satisfied,Satisfied,Satisfied,Islands
Year 2,Female,Non-Sabahan,Monthly,>RM200,Long (>1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Mountains
Year 2,Male,Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Very Satisfied,Neutral,Very Satisfied,Islands
Year 2,Female,Sabahan,Monthly,RM100 - RM200,Short (<1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,I have not visited this destination,Mountains
Year 1,Female,Non-Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Very important,Very important,Very important,Very important,I have not visited this destination,Very Satisfied,Satisfied,Beaches
Year 3,Male,Non-Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Neutral,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Islands
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Important,Very important,Important,Very Satisfied,Satisfied,Very Satisfied,Islands
Year 1,Female,Non-Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Friends,Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.),Neutral,Neutral,Very important,Very important,Satisfied,Satisfied,Very Satisfied,Beaches
Year 1,Male,Non-Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Mountains
Year 2,Female,Non-Sabahan,Annually,>RM200,Short (<1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Islands
Year 2,Male,Non-Sabahan,Monthly,RM100 - RM200,Long (>1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Important,Important,Important,Satisfied,Neutral,Neutral,Mountains
Year 3,Female,Non-Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Very important,Very important,Very important,Satisfied,Dissatisfied,Satisfied,Mountains
Year 2,Female,Non-Sabahan,Annually,>RM200,Short (<1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Neutral,Neutral,Very important,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Islands
Year 2,Female,Non-Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Very Satisfied,Satisfied,Very Satisfied,Mountains
Year 2,Female,Non-Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Neutral,Neutral,Very important,Very important,Very Satisfied,Very Satisfied,I have not visited this destination,Mountains
Year 1,Female,Non-Sabahan,Monthly,<RM100,Short (<1 hour),1 day,Friends,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Very important,Important,Very important,Very important,I have not visited this destination,Very Satisfied,I have not visited this destination,Beaches
Year 3,Female,Sabahan,Annually,RM100 - RM200,Long (>1 hour),1 day,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Not important,Very important,Very important,Satisfied,Satisfied,Very Satisfied,Islands
Year 1,Female,Non-Sabahan,Never,<RM100,Long (>1 hour),More than 3 days,Family,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Very important,Very important,Very important,Very important,I have not visited this destination,Very Satisfied,I have not visited this destination,Islands
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Not important,Important,Important,Satisfied,Satisfied,Satisfied,Islands
Year 2,Male,Non-Sabahan,Monthly,RM100 - RM200,Short (<1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Important,Very important,Very important,Satisfied,Satisfied,I have not visited this destination,Islands
Year 2,Female,Sabahan,Monthly,RM100 - RM200,Short (<1 hour),1 day,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Neutral,Neutral,Very important,Very Dissatisfied,Very Dissatisfied,Neutral,Beaches
Year 3,Female,Sabahan,Annually,<RM100,Short (<1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Islands
Year 3,Female,Non-Sabahan,Annually,>RM200,Short (<1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Important,Important,Very important,Neutral,Satisfied,Very Satisfied,Islands
Year 3,Female,Sabahan,Weekly,RM100 - RM200,Short (<1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Very important,Very important,Satisfied,Very Satisfied,I have not visited this destination,Islands
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Important,Very important,Very important,Satisfied,Satisfied,I have not visited this destination,Mountains
Year 4,Male,Sabahan,Monthly,RM100 - RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Very important,Very important,Satisfied,Satisfied,I have not visited this destination,Mountains
Year 4,Female,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Very important,Very important,Satisfied,Satisfied,Satisfied,Beaches
Year 4,Female,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Neutral,Very important,Very important,Neutral,Neutral,I have not visited this destination,Islands
Year 1,Male,Non-Sabahan,Monthly,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Neutral,Neutral,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Islands
Year 3,Female,Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Satisfied,Satisfied,I have not visited this destination,Mountains
Year 2,Female,Sabahan,Monthly,RM100 - RM200,Long (>1 hour),1 day,Friends,"Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Important,Important,I have not visited this destination,Satisfied,Satisfied,Mountains
Year 2,Male,Non-Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Very important,Very important,Neutral,Very important,I have not visited this destination,Satisfied,I have not visited this destination,Islands
Year 1,Female,Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,I have not visited this destination,Beaches
Year 4,Male,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Not important,Important,Important,Satisfied,Satisfied,I have not visited this destination,Mountains
Year 2,Male,Non-Sabahan,Monthly,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Important,Important,Very important,Very Satisfied,Satisfied,Satisfied,Mountains
Year 2,Male,Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Beaches
Year 5,Female,Sabahan,Annually,RM100 - RM200,Short (<1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Important,Very important,Very important,Very Satisfied,Very Satisfied,I have not visited this destination,Beaches
Year 2,Female,Sabahan,Annually,>RM200,Short (<1 hour),1 day,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Important,Very important,Very important,Very Satisfied,Satisfied,I have not visited this destination,Beaches
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),1 day,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Somewhat important,Important,Important,Important,Satisfied,Satisfied,Satisfied,Mountains
Year 2,Female,Non-Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Neutral,Important,Important,Satisfied,Satisfied,I have not visited this destination,Mountains
Year 2,Female,Non-Sabahan,Monthly,>RM200,Long (>1 hour),2 - 3 days,Alone,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Neutral,Important,Important,Very important,Very Satisfied,Satisfied,Very Satisfied,Mountains
Year 4,Male,Non-Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Mountains
Year 3,Male,Sabahan,Monthly,<RM100,Short (<1 hour),2 - 3 days,Friends,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Important,Important,Important,Important,Satisfied,Neutral,Satisfied,Mountains
Year 4,Female,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Somewhat important,Important,Very important,Neutral,Neutral,Neutral,Islands
Year 1,Male,Non-Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Alone,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Very important,Very important,Satisfied,Very Satisfied,I have not visited this destination,Beaches
Year 3,Female,Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Important,Important,Very important,Very Satisfied,Very Satisfied,Satisfied,Mountains
Year 2,Male,Sabahan,Never,RM100 - RM200,Short (<1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Very important,Important,Important,Very Satisfied,Very Satisfied,I have not visited this destination,Beaches
Year 2,Female,Non-Sabahan,Annually,RM100 - RM200,Long (>1 hour),More than 3 days,Family,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Very important,Very important,Very important,Very important,I have not visited this destination,Satisfied,I have not visited this destination,Beaches
Year 2,Female,Sabahan,Annually,RM100 - RM200,Short (<1 hour),2 - 3 days,Family,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Important,Important,Important,Very important,I have not visited this destination,Satisfied,I have not visited this destination,Beaches
Year 2,Male,Non-Sabahan,Never,<RM100,Short (<1 hour),2 - 3 days,Friends,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Important,Important,Important,Important,Very Satisfied,Very Satisfied,Very Satisfied,Beaches
Year 2,Female,Sabahan,Annually,RM100 - RM200,Long (>1 hour),More than 3 days,Family,"Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Important,Important,Satisfied,Neutral,Satisfied,Islands
Year 2,Male,Sabahan,Annually,<RM100,Long (>1 hour),More than 3 days,Alone,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Beaches
Year 1,Female,Sabahan,Annually,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Neutral,Important,Important,Important,Satisfied,Satisfied,I have not visited this destination,Beaches
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Very important,Very important,Satisfied,Very Satisfied,I have not visited this destination,Islands
Year 2,Female,Non-Sabahan,Annually,>RM200,Short (<1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Neutral,Neutral,Very important,Very important,Satisfied,Satisfied,Dissatisfied,Mountains
Year 1,Female,Non-Sabahan,Never,<RM100,Long (>1 hour),More than 3 days,Family,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Very important,Very important,Very important,Very important,I have not visited this destination,Satisfied,I have not visited this destination,Mountains
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Satisfied,Very Satisfied,Satisfied,Islands
Year 2,Male,Non-Sabahan,Annually,>RM200,Short (<1 hour),More than 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Satisfied,Satisfied,Very Satisfied,Islands
Year 3,Female,Non-Sabahan,Never,RM100 - RM200,Short (<1 hour),2 - 3 days,Friends,Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.),Important,Important,Very important,Important,Satisfied,Satisfied,Neutral,Beaches
Year 4,Female,Sabahan,Annually,<RM100,Short (<1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Important,Very important,Very important,Satisfied,Satisfied,Satisfied,Islands
Year 2,Female,Sabahan,Annually,RM100 - RM200,Short (<1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Important,Very important,Very Satisfied,Neutral,Satisfied,Mountains
Year 3,Female,Sabahan,Annually,>RM200,Short (<1 hour),1 day,Family,Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec),Very important,Very important,Very important,Very important,I have not visited this destination,Satisfied,I have not visited this destination,Beaches
Year 3,Male,Non-Sabahan,Never,<RM100,Long (>1 hour),2 - 3 days,Friends,Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.),Important,Important,Important,Very important,Satisfied,Satisfied,Neutral,Mountains
